DATA,Velocità media (m/s),Velocità raffica (m/s),Settore prevalente,Tempo permanenza (min),Durata calma (min),Vento classe
1991-07-28,2.2,8.3,E,350,20,M00000
1991-07-29,2.4,7.9,ENE,400,10,M00000
1991-07-30,1.8,9.7,E,260,50,M00000
1991-07-31,3.0,9.7,WSW,350,0,M00000
1991-08-01,4.8,13.6,WSW,740,0,M00000
1991-08-02,2.4,10.4,WSW,170,0,M*****
1991-08-03,2.3,7.3,ENE,580,0,M00000
1991-08-04,1.9,7.7,E,400,10,M00000
1991-08-05,2.4,7.4,ENE,410,10,M00000
1991-08-06,2.1,5.8,E,520,0,M00000
1991-08-07,1.9,7.2,E,350,20,M00000
1991-08-08,1.3,7.9,WSW,250,80,M00000
1991-08-09,2.2,7.3,E,480,10,M00000
1991-08-10,2.2,7.1,ENE,400,0,M00000
1991-08-11,2.3,7.7,E,510,0,M00000
1991-08-12,2.2,6.7,ENE,480,20,M00000
1991-08-13,2.3,6.8,E,340,0,M00000
1991-08-14,2.0,8.2,WSW,250,0,M00000
1991-08-15,2.4,9.6,WSW,510,0,M00000
1991-08-16,2.1,5.0,ENE,390,10,M00000
1991-08-17,2.0,5.4,E,320,10,M00000
1991-08-18,2.7,11.9,W,340,0,M00000
1991-08-19,2.3,10.3,WSW,380,0,M00000
1991-08-20,2.0,4.8,E,460,10,M00000
1991-08-21,1.9,7.0,E,380,20,M00000
1991-08-22,1.6,5.1,E,270,20,M00000
1991-08-23,1.9,6.6,WSW,310,0,M00000
1991-08-24,2.1,4.9,E,560,0,M00000
1991-08-25,2.3,6.5,E,430,0,M00000
1991-08-26,2.9,9.3,W,480,0,M00000
1991-08-27,2.4,9.2,WSW,380,10,M00000
1991-08-28,1.5,4.8,E,510,30,M00000
1991-08-29,1.5,4.8,E,320,10,M00000
1991-08-30,1.3,4.2,W,360,40,M00000
1991-08-31,1.3,5.6,E,390,80,M00000
1991-09-01,0.9,6.2,W,230,70,M00000
1991-09-02,1.3,4.8,E,300,40,M00000
1991-09-03,1.9,6.9,E,240,20,M00000
1991-09-04,1.8,7.4,E,430,20,M00000
1991-09-05,2.3,8.7,ENE,420,10,M00000
1991-09-06,2.4,6.1,ENE,380,0,M00000
1991-09-07,2.1,5.8,E,370,0,M00000
1991-09-08,1.5,6.6,WSW,400,10,M00000
1991-09-09,1.0,3.1,W,290,110,M00000
1991-09-10,1.5,4.8,ENE,330,10,M00000
1991-09-11,1.4,6.2,W,310,80,M00000
1991-09-12,1.2,7.2,E,190,60,M00000
1991-09-13,1.1,3.0,WSW,370,30,M00000
1991-09-14,1.1,4.4,WSW,320,20,M00000
1991-09-15,1.9,4.2,E,670,0,M00000
1991-09-16,2.4,4.6,E,330,0,M00000
1991-09-17,2.2,6.9,W,320,0,M00000
1991-09-18,2.3,4.9,E,510,10,M00000
1991-09-19,1.6,5.9,E,370,0,M00000
1991-09-20,1.7,4.3,E,490,20,M00000
1991-09-21,1.6,9.5,ENE,280,30,M00000
1991-09-22,1.9,9.7,W,220,40,M00000
1991-09-23,4.4,12.4,SW,550,0,M00000
1991-09-24,1.7,4.9,E,380,20,M00000
1991-09-25,1.7,8.4,ESE,370,60,M00000
1991-09-26,2.2,10.9,SSW,200,60,M00000
1991-09-27,4.0,11.8,WSW,570,0,M00000
1991-09-28,2.4,10.7,ESE,270,0,M00000
1991-09-29,1.4,8.9,SE,200,60,M00000
1991-09-30,2.0,7.8,S,250,20,M00000
1991-10-01,2.1,8.7,ENE,290,0,M00000
1991-10-02,3.4,11.8,WSW,340,0,M00000
1991-10-03,1.7,4.4,E,530,60,M00000
1991-10-04,1.4,4.2,ENE,390,40,M00000
1991-10-05,1.3,10.9,E,340,100,M00000
1991-10-06,1.0,5.7,ENE,250,170,M00000
1991-10-07,1.2,6.0,ENE,200,190,M00000
1991-10-08,1.5,4.3,E,590,40,M00000
1991-10-09,1.5,3.7,E,640,10,M00000
1991-10-10,1.4,5.3,E,410,10,M00000
1991-10-11,1.9,10.3,E,350,20,M00000
1991-10-12,1.1,6.1,E,210,60,M00000
1991-10-13,1.2,7.1,E,280,120,M00000
1991-10-14,1.2,6.4,E,330,80,M00000
1991-10-15,1.5,4.8,E,590,40,M00000
1991-10-16,2.2,4.9,E,400,0,M00000
1991-10-17,3.7,12.1,SW,590,20,M00000
1991-10-18,4.8,13.8,WSW,550,0,M00000
1991-10-19,4.7,12.3,SW,560,0,M00000
1991-10-20,2.8,9.0,SSW,260,0,M00000
1991-10-21,1.9,6.2,E,390,0,M00000
1991-10-22,1.5,4.6,ENE,380,100,M00000
1991-10-23,1.7,4.5,ENE,380,50,M00000
1991-10-24,2.0,4.5,E,440,10,M00000
1991-10-25,2.1,5.1,ENE,570,0,M00000
